Data collection started on {11/05/2018 14:39:22.676}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.4000000000	0.3280689708	-6.5995269703	2.7084763867	1.1520561532	0.2059967956	0.8316166934	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1087052720	-0.5524376287	-0.8142824445	0.0546272984	0.0037232013	-0.9455100328	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0343938354	0.0314030671	-0.1618982223	0.0322575723	0.0143129625	-0.0939650568	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0774395361	2.7527275502	0.8250125887	2.4750377661	
0.4200000000	1.0147249561	-6.4774547951	2.7542534524	0.0534065766	0.5264362554	0.5722133211	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1113908598	-0.5517051957	-0.8148928054	0.0548714427	-0.0026245518	-0.9376974136	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0334172580	0.0303654536	-0.1618371862	0.0273136492	0.0126649882	-0.0837109941	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0774395361	2.7527275502	0.8250125887	2.4750377661	
0.4400000000	-0.3891050584	-6.2790875105	2.6932173648	-0.3738460365	1.1520561532	0.5722133211	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1133440146	-0.5523155566	-0.8179446098	0.0501106279	0.0061646448	-0.9337911040	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0348821241	0.0302433814	-0.1621423667	0.0301823453	0.0138857099	-0.0840161746	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0762188144	2.7527275502	0.8250125887	2.4750377661	
0.4600000000	0.6027313649	-6.5690089265	2.5711451896	0.4196231022	2.6169222553	0.4654001678	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1143205921	-0.5485313191	-0.8180666819	0.0495002670	0.0039673457	-0.9361104753	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0345159075	0.0309147784	-0.1611657893	0.0313420310	0.0118104829	-0.0833447776	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0762188144	2.7527275502	0.8250125887	2.4750377661	
0.4800000000	0.7705806058	-6.0959792477	2.7695124743	-1.0757610437	1.9913023575	0.1754787518	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1110246433	-0.5491416800	-0.8200198367	0.0516975662	-0.0000610361	-0.9420920119	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0349431601	0.0299382010	-0.1621423667	0.0314030671	0.0138246738	-0.0704051270	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0762188144	2.7527275502	0.8250125887	2.4750377661	
0.5000000000	-0.2517738613	-6.3401235981	2.8152895399	0.0686655985	1.5487907225	0.4806591897	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1146868086	-0.5469443809	-0.8179446098	0.0530403601	0.0119020371	-0.9475852598	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0338445106	0.0299992370	-0.1619592584	0.0285343709	0.0100404364	-0.0887159533	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7515068284	0.8250125887	2.4750377661	
0.5200000000	0.8316166934	-6.6758220798	2.4032959487	1.7318989853	0.6179903868	0.7553215839	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1150530251	-0.5442587930	-0.8219729915	0.0512092775	0.0068970779	-0.9478294041	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0335393301	0.0309147784	-0.1614099336	0.0310978866	0.0133974212	-0.0829175250	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0762188144	2.7527275502	0.8250125887	2.4750377661	
0.5400000000	0.9994659342	-6.8741893645	2.8915846494	0.0534065766	-0.6179903868	0.4959182116	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1167620356	-0.5456015869	-0.8161135271	0.0532845045	-0.0086060883	-0.9507591363	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0343938354	0.0297550927	-0.1615320058	0.0321965362	0.0145571069	-0.0886549172	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7527275502	0.8250125887	2.4750377661	
0.5600000000	-0.0228885328	-6.8436713207	2.9831387808	0.5722133211	-0.2059967956	0.8926527810	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1140764477	-0.5462119478	-0.8158693828	0.0448615244	0.0062867170	-0.9419699397	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0343327993	0.0312809949	-0.1620202945	0.0292668040	0.0121156634	-0.0785229267	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0762188144	2.7527275502	0.8250125887	2.4750377661	
0.5800000000	1.3962005035	-6.7521171893	2.9831387808	1.9760433356	0.5874723430	1.1673151751	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1151750973	-0.5405966278	-0.8187991150	0.0471808957	0.0034790570	-0.9337911040	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0346990158	0.0318303197	-0.1615930419	0.0326237888	0.0113832303	-0.0745555810	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0749980926	2.7527275502	0.8250125887	2.4750377661	
